id;supplier_foreign_id;supplier;code;name;description;base_price;currency;active
1;4429;however jovially ultimately;sound lively decision-making;ha;strictly if;27458.39;drat inasmuch;false
2;30325;unsteady though phew;bleak ruddy;what knowingly amid;boastfully;31489.65;minor;true
3;24006;foolish till degree;down;minus when;disastrous reopen;26471.57;positively;false
4;9654;supposing;sear;and;unlike;16681.24;befog qua and;true
5;22498;ew;over neuropsychiatry affiliate;before testify until;beard;26718.89;seldom when drat;true
6;32018;chimpanzee;excluding bough ambiguity;outstanding;defiantly;3056.84;finally bandwidth cycle;false
7;1807;safe phew;though;urgently;though ice;6120.11;angry relaxation actually;true
8;12022;treasure;air;wise;fast;6682.43;although compartmentalize playfully;false
9;20954;although nail frightfully;trade;usefully;instruct as incidentally;11181.17;aha fooey;false
10;24581;boo;spiteful queen yippee;gadzooks;atop pace;7857.69;vaccine;true
