id;supplier_foreign_id;name;description;price;free_price
1;25235;without awkwardly lightscreen;merrily wonderful;14583.49;730.56
2;12649;eligibility rudely stamina;succotash mysteriously ascribe;19641.28;29638.38
3;16281;absent after fatherly;dual noisily incise;17857.22;12991.82
4;11327;thirsty past alarm;positively restore persimmon;2029.21;5317.83
5;14043;including captain progenitor;enable lest hand;18073.57;7642.15
6;10482;healthy pfft anti;rowdy dune glom;23444.43;14972.73
7;8357;thorough;indeed family geez;25696.54;26764.33
8;29011;yesterday following;after race;25893.97;20031.45
9;1483;bury patriot nor;dramaturge;3152.74;10451.91
10;25660;crave badly false;before;27735.44;1011.33
