id;supplier_foreign_id;code;name;description;additional_price
1;27563;dependable so;coaxingly truly geez;rudely supposing;28165.94
2;424;as;afore apropos unlike;than feminine;21613.35
3;17046;euphoric idle pish;illustration;blah against;1032.83
4;22430;of obi potential;over beneath pace;especially when frizzy;1508.02
5;20943;furthermore but;nor reassuringly with;winkle mysteriously whereas;24750.62
6;7261;husky;insubstantial good-natured;but;32628.66
7;1016;painfully;vastly so;cavernous woot agreeable;2961.24
8;7077;um ugh;breadfruit woot;boohoo supposing unbearably;13827.99
9;15376;per;hmph;lightly compound;324.89
10;12750;attached hurtful gadzooks;decimalize mid;ashram bogus arrive;8869.6
