id;supplier_foreign_id;device_price;final_price;sale_date;currency;finalized
1;7369;3217.55;25779.68;2024-09-26T21:48:12;befriend noise;true
2;7837;9853.15;27944.88;2024-09-26T12:43:33;settlement;false
3;32440;17759.91;10719.21;2024-09-26T13:06:44;huzzah;true
4;11932;25734.11;12166.65;2024-09-26T10:22:12;sometimes characterise;false
5;12408;28797.81;1212.02;2024-09-26T18:40:08;pish if scarily;false
6;6705;18138.5;7356.93;2024-09-26T13:54:43;phew absent zowie;false
7;2419;24076.71;9672.12;2024-09-26T15:32:02;upon purr;false
8;14046;5731.97;5359.26;2024-09-26T03:26:13;pecan phooey;false
9;29564;21411.71;25240.13;2024-09-26T04:45:06;reassess plaintive;false
10;1943;11729.44;28868.69;2024-09-26T07:54:21;qua;true
